drug_id,function_description,components,label
TCMF12064,小儿感冒，发热，咳嗽，头痛，身痛，惊风，痰多。,薄荷，紫苏叶，黄芩，黄连，茯苓，白术，天竺黄，胆南星，天麻，钩藤，白芍，枳实，独活，羌活，山药，白附子，甘草,厚朴
TCMF9304,高血压，头痛，眩晕，失眠。,槐花，菊花，女贞子，钩藤，桃仁，天南星，三七，玄参，地龙，羚羊角，石膏,牛膝
TCMFx6417,胃脘痛,蒲公英，大血藤，白芍，甘草，乌药，陈皮,木香
TCMF533,鼻炎,细辛，黄芩，荆芥，防风，白芷，苍耳子，黄芪，白术，桂枝,石菖蒲
TCMF9205,湿热瘀阻所致的精浊、白浊、劳淋，症见尿频、尿急、尿痛、尿不尽、尿道口红肿、前列腺炎、前列腺增生。,丹参，泽兰，赤芍，白芷，王不留行，黄柏，乌药,桃仁
TCMF8451,肾虚腰痛，头晕耳鸣，遗精早泄，月经不调。,附子，熟地黄，山药，菟丝子，女贞子，枸杞子，泽泻，牡丹皮，肉桂,茯苓
TCMF6677,"养血, 调经, 止痛。用于月经量少, 后错, 经期腹痛。",当归，川芎，香附，白术，白芍，赤芍，延胡索，大枣，甘草,熟地黄
TCMFx4820,"产后血晕, 中风, 腹痛, 类霍乱",苏合香，广藿香，甘草，天麻，防风，丁香，羌活，乳香，半夏，檀香，木香，豆蔻，乌药，没药，香附，肉豆蔻，诃子，砂仁，荜茇，沉香，薄荷，猪牙皂，白术，冰片，细辛，麝香，朱砂,水牛角
TCMF8459,高热惊厥，神昏谵语，抽搐痉厥，头痛，咽痛。,石膏，水牛角，羚羊角，麝香，玄参，升麻，木香，丁香，芒硝，滑石，甘草,沉香
TCMFx122,"风温, 感冒",川芎，黄芩，蔓荆子，薄荷，藁本，防风，白芷，菊花，栀子，黄连，连翘，羌活，桔梗，甘草,荆芥穗
TCMF9078,月经不调，痛经，不孕症，带下病。,熟地黄，阿胶，白芍，川芎，香附，黄芩，杜仲，续断，艾叶,当归
TCMFx181,感冒,青蒿，板蓝根，菊花，苦杏仁，桔梗，薄荷，甘草,连翘
TCMF11410,小儿惊风，高热惊厥，抽搐，神昏。,天竺黄，天麻，钩藤，白附子，全蝎，蝉蜕，僵蚕，麝香,胆南星
TCMF7873,肺肾两虚，精气不足，久咳虚喘，神疲乏力，腰膝酸软。,冬虫夏草，枸杞子，淫羊藿，山楂,甘草
TCMFx7060,胎动不安,厚朴，艾叶，当归，川芎，荆芥，川贝母，菟丝子，羌活，甘草，枳壳，白芍，生姜,黄芪
TCMF11115,肾虚腰痛，头晕目眩，耳鸣耳聋，阳痿早泄，遗精盗汗，腰膝酸软，四肢无力。,杜仲，巴戟天，淫羊藿，黄芪，党参，白术，当归，白芍，枸杞子，茯苓，山药，莲子，肉苁蓉，山茱萸，金樱子，柏子仁，砂仁，牡丹皮，甘草,女贞子
TCMF8153,慢性盆腔炎，附件炎，子宫内膜炎等,车前子，泽兰，红花，赤芍，川芎，炮姜，海藻，柴胡，当归，香附,延胡索
TCMF11673,头晕目眩，痰多咳嗽，胸闷不舒，头痛,安息香，黄芩，麦冬，葛根，槐花，丹参，郁金，黄芪，白术，茯苓，决明子，天麻，沉香，川芎，桑寄生，香附,赤芍
TCMF5758,"咳嗽, 感冒",桔梗，紫苏子，连翘，芦根，菊花，陈皮，桑白皮，远志，款冬花，甘草,白前
TCMF12498,发热，咽喉肿痛，腮部肿胀，乳部红肿疼痛，口干舌燥,重楼，艾叶，蒲公英，当归，红花，大蒜，天然冰片,草乌
TCMF10045,瘀血阻滞所致的胸痹心痛，跌打损伤，瘀血肿痛。,冰片,蒲黄
TCMF10850,热病神昏，中风痰迷，惊痫抽搐，咽喉肿痛，口舌生疮。,石膏，滑石，玄参，甘草，木香，丁香，朱砂，芒硝，麝香,羚羊角
TCMF3424,"腰痛, 眩晕",红参，鹿茸，蛤蚧，当归，熟地黄，枸杞子，山茱萸，肉苁蓉，巴戟天，远志，沉香，山药，茯苓，白术，益智，补骨脂,杜仲
TCMF8582,肾阳不足，腰膝酸软，小便频繁，畏寒肢冷。,附子，山茱萸，山药，泽泻，茯苓，牡丹皮，车前子，牛膝,桂枝
TCMF10739,咳嗽，痰多，气喘。,川贝母，黄芩，紫苏叶，紫苏子，甘草，茯苓，桔梗，南沙参，白前，麻黄，厚朴，防风，前胡，桑叶，葶苈子，法半夏，白果，银杏叶，陈皮,薄荷
TCMF11478,风寒湿痹，关节疼痛，肢体麻木。,广藿香，黄芩，三棱，莪术，香加皮，细辛，枳实，香附，石菖蒲，花椒，九里香，两面针，高良姜,檀香
TCMFx5978,"腹泻, 疳病",南沙参，白术，山药，谷芽，麦芽,九香虫
TCMFx6455,"咳嗽, 喘病, 心悸, 怔忡, 眩晕, 虚劳",灵芝，人参，白术，茯苓，肉桂，当归，白芍，熟地黄，黄芪，五味子，远志，甘草,陈皮
TCMF8903,表虚感冒，症见发热恶风，有汗，头痛，鼻塞，咳嗽，痰白，脉浮缓。,桂枝，葛根，生姜，大枣,白芍
TCMF12464,局部肿胀，疼痛拒按，活动受限，肌肤青紫,穿山龙，地龙，威灵仙，续断，红花，当归，苏木，土鳖虫，自然铜，马钱子，蜂蜜,骨碎补
TCMF450,感冒,桂枝，白芷，防风，荆芥穗，桔梗，甘草，柴胡，羌活，葛根，苦杏仁，生姜,白芍
TCMF9423,风湿性关节炎，类风湿性关节炎，痛风，肢体麻木，瘫痹瘫痪，跌打损伤，坐骨神经痛。,余甘子，降香，决明子，乳香，荜茇，草果，红花，木香，黑种草子，肉豆蔻，沉香，诃子，毛诃子，檀香，丁香，肉桂，高良姜，牛黄，水牛角,豆蔻
TCMF9940,咳嗽，痰多，气喘。,白前，百部，紫菀，桔梗，枳壳，陈皮，甘草,茯苓
TCMF9423,风湿性关节炎，类风湿性关节炎，痛风，肢体麻木，瘫痹瘫痪，跌打损伤，坐骨神经痛。,余甘子，降香，决明子，乳香，荜茇，草果，豆蔻，红花，木香，肉豆蔻，沉香，诃子，毛诃子，檀香，丁香，肉桂，高良姜，牛黄，水牛角,黑种草子
TCMF12033,脾胃虚弱，食积停滞，脘腹胀痛，恶心呕吐，消化不良。,三棱，莪术，厚朴，陈皮，青皮，黄连，莱菔子，山楂，姜半夏,甘草
TCMF7418,"肝肾不足, 阴虚有热, 头晕目眩, 视物昏花",熟地黄，山茱萸，泽泻，牡丹皮，茯苓，枸杞子，菊花,山药
TCMF11903,感冒发热，头痛，咳嗽，咽喉肿痛，小儿惊风。,麦冬，薄荷，黄芩，荆芥穗，天竺黄，天麻，钩藤，栀子，甘草,金银花
TCMFx496,"发热, 急惊风",酸枣仁，知母，丹参，川芎，麦冬，五味子，茯苓,何首乌
TCMF10697,心悸失眠，头晕目眩，记忆力减退，精神恍惚。,珍珠，人参，茯苓，白术，当归，肉苁蓉，熟地黄，远志，石菖蒲，柴胡，薄荷，生姜，甘草,白芍
TCMF9151,脾肾两虚，食欲不振，腰膝酸软，神疲乏力。,黄精，黄芪，白术，巴戟天，山楂，鸡内金,锁阳
TCMF7446,"益气补血, 通络生乳。用于气血亏虚所致的产后缺乳病。症见产后气血不足, 乳汁少, 甚或全无, 乳汁清稀, 乳房柔软等。",当归，白芍，熟地黄，通草，天花粉，王不留行，穿山甲，漏芦，鹿角霜，路路通，木通，甘草,黄芪
TCMF10521,肾气不足，腰膝酸软，尿频尿急，神疲乏力。,红参，山茱萸，金樱子，菟丝子，女贞子，枸杞子，车前子，牛蒡子，大黄,甘草
TCMF11071,中风后遗症，瘫痿痹痛，肢体麻木，口眼歪斜，言语不利。,全蝎，僵蚕，地龙，胆南星，白附子，蜈蚣，天麻，钩藤，丹参，赤芍，红花，桃仁，川芎，当归，黄芪，党参，白术，茯苓，甘草,穿山甲
TCMF5427,胃脘痛,砂仁，厚朴，豆蔻，陈皮，青皮，枳壳，郁金，柴胡，木香，香附，片姜黄，甘草,山楂
TCMF10034,血热妄行所致的崩漏，月经过多，经期延长，淋漓不断，经色深红，质稠或有血块，腰酸腿痛，心烦口渴。,白术，大蓟，小蓟，墨旱莲，女贞子，茜草，白芍，蒲黄,山楂
TCMF11612,时行感冒，瘟疫初起，头痛身热，咳嗽咽痛，胸闷不畅。,荆芥穗，千金子霜，降香，天麻，大黄，麻黄，细辛，五味子，沉香，檀香，丁香，桂枝，肉桂，冰片，麝香，朱砂，雄黄,苍术
TCMF9688,免疫力低下，易感冒，疲劳乏力，食欲不振。,石斛，黄芪，白术，茯苓，甘草，金银花，连翘，蒲公英，紫花地丁,党参
TCMFx3577,"偏枯, 风痱, 痹病",红参，熟地黄，乌梢蛇，羌活，全蝎，当归，蕲蛇，茯苓，两头尖，草乌，血竭，黄连，僵蚕，黄芩，香附，玄参，葛根，大黄，胆南星，防风，甘草，麝香，细辛，肉桂，延胡索，木香，三七，地龙，石菖蒲，赤芍，麻黄，威灵仙，乌药,白术
TCMF7458,"疏风止痒, 燥湿解毒。适用于风邪外来, 湿毒内蕴, 腠理失和所致的皮肤, 阴部瘙痒症。",苦参，百部，蛇床子，花椒，白鲜皮，石菖蒲，地肤子，胡黄连，龙胆,白矾
TCMF23,"头晕, 心悸, 目眩, 耳鸣, 健忘, 失眠, 疲乏无力; 更年期综合征, 病后体虚见上述证候者",人参，黄芪，金樱子，枸杞子，菟丝子，淫羊藿，白芍，甘草，麦芽，黄精,女贞子
TCMF7473,急性黄疸型肝炎，慢性肝炎，肝功能异常。,茵陈，板蓝根，五味子，甘草，栀子，大黄，丹参，柴胡,黄芩
TCMF8606,咽喉肿痛，声音嘶哑，发热咳嗽。,黄芩，菊花，牛蒡子，赤芍，连翘，金银花，板蓝根，胖大海，玄参，木蝴蝶，蝉蜕,僵蚕
TCMF8771,口腔炎症，咽喉肿痛，口干舌燥。,麦冬，天冬，金银花,甘草
TCMFx3339,"流痰, 肺痨, 麻风",三七，黄芪，乳香，没药,骨碎补
TCMF8357,中风，癫痫，头痛，眩晕。,荆芥，紫苏叶，巴豆霜，苍术，天麻，檀香，天南星，冰片，全蝎，朱砂，雄黄,僵蚕
TCMF10004,胸痹心痛，心悸气短，胸闷乏力。,黄精，甘松，党参,三七
TCMF10987,气血两虚，脾胃虚弱，腰膝酸软，月经不调。,益母草，杜仲，茯苓，麦芽，豆蔻，砂仁，白术，苍术，红花，木香，白芍，赤芍，附子，牡丹皮，厚朴，木瓜，山楂，桃仁,丹参
TCMF12106,气血两虚，头晕目眩，心悸失眠，食欲不振。,黄芪，鸡血藤，当归，大枣，陈皮,白术
TCMFx6653,"益气养血。适用于气血两虚所致的头晕目眩, 心悸失眠, 神疲倦怠, 气短乏力, 纳差等症。对白细胞减少症, 贫血有一定的疗效。",人参，黄芪，白术，五味子，当归，川芎，女贞子，牡蛎，枸杞子，何首乌，大黄,木香
TCMF10712,便秘，腹胀，肠梗阻。,细辛,猪牙皂
TCMFx621,"夜自泄, 腹冷洞泻, 饮食少味, 行步无力, 肾虚腰疼肝虚, 腰腿重痛, 风湿脚气",杜仲，核桃仁，大蒜,补骨脂
TCMF10419,肾阳不足，腰膝酸软，畏寒肢冷，性功能减退。,巴戟天，淫羊藿，山茱萸，锁阳，熟地黄，蛇床子，九香虫，海马，蛤蚧,砂仁
TCMF8218,血瘀证，跌打损伤，筋骨疼痛，月经不调等。,黄芪，当归，白芍，桃仁，血竭，枸杞子，牛膝，芥子，桂枝，土鳖虫,自然铜
TCMF10300,冠心病，心绞痛，高脂血症。,沙棘，川芎，丹参，葛根，泽泻，决明子，白芍，黄芪,山楂
TCMF11604,胆石症，胆囊炎，胆道感染。,金钱草，三棱，郁金，大黄，乳香，没药，陈皮，白矾,甘草
TCMF11611,脾胃虚弱，食少腹胀，脘腹疼痛，消化不良。,炙黄芪，白术，草果，白芍，厚朴，乌梅，川芎，陈皮，枳实，焦槟榔，鳖甲,香附
TCMF10568,急性黄疸型肝炎，湿热黄疸，肝胆湿热。,茵陈，泽兰，蒲公英，白茅根，滑石,甘草
TCMF10014,肝肾不足，气血两虚，月经不调，崩漏带下，腰膝酸软，头晕耳鸣。,黄芪，人参，当归，白芍，丹参，香附，牡蛎，桑螵蛸，鹿角胶，鹿角霜,熟地黄
TCMF10905,寒实结胸，胸腹胀痛，痰涎壅盛，呼吸困难。,川贝母，巴豆霜，厚朴，柴胡，玄参，肉桂，血竭，冰片，朱砂,知母
TCMF10899,气血两虚，脾胃虚弱，食欲不振，四肢无力。,炙黄芪，党参，白术，苍术，茯苓，谷芽，麦芽，侧柏叶，黄芩，白茅根，大蓟，小蓟，大黄，牡丹皮，白芍，厚朴，枳实，茜草，甘草,附子
TCMF12295,血热妄行所致的吐血、衄血、便血、崩漏下血，血色鲜红，或兼有发热、烦躁、口渴、便秘、尿赤等症。,荆芥穗，槐花，没药，乳香，大黄，桃仁，郁李仁，当归，石决明，芒硝，雄黄，滑石,胡黄连
TCMF9309,清热解毒，凉血止血。,麦冬，红花，瞿麦，檀香，胡黄连，苦地丁，石膏,人工牛黄
TCMF8744,湿热下注，尿路感染，皮肤炎症。,黄连，黄芩，栀子，大黄，金银花，连翘，紫花地丁，甘草,蒲公英
TCMF9765,气血两虚，免疫力低下，疲劳乏力，腰膝酸软。,人参，熟地黄，杜仲，巴戟天，肉苁蓉，枸杞子，桑椹，茯苓，白术，五味子，酸枣仁，沙棘，猫爪草，山药，五加皮，牛膝，鹿角胶,天冬
TCMF539,骨关节炎,熟地黄，狗脊，淫羊藿，牛膝，肉苁蓉，女贞子，鸡血藤，骨碎补,莱菔子
TCMF8549,肝郁气滞，胸闷胁痛，心烦失眠，食欲不振。,柴胡，当归，白芍，党参，麦冬，五味子，黄芩，茯苓，郁金，枳壳，甘草,黄芪
TCMFx1167,目昏云翳,补骨脂，肉豆蔻，五味子，吴茱萸，生姜,大枣
TCMF9636,感冒风寒，头痛发热，鼻塞流涕，咳嗽咽痛。,桂枝，白芍，炙甘草，大枣，蝉蜕,生姜
